fsw,cap,ind,pl_i_cu
20000.0,0.0004758421052631579,0.0009052631578947369,5.10836
20000.0,0.0004758421052631579,0.0009526315789473685,5.24014
20000.0,0.0004758421052631579,0.001,5.36874
20000.0,0.0005115789473684211,0.0001,1.44234
20000.0,0.0005115789473684211,0.00014736842105263158,2.07133
20000.0,0.0005115789473684211,0.00019473684210526317,2.36844
20000.0,0.0005115789473684211,0.00024210526315789473,2.63469
20000.0,0.0005115789473684211,0.00028947368421052634,2.87732
20000.0,0.0005115789473684211,0.0003368421052631579,3.10136
20000.0,0.0005115789473684211,0.00038421052631578946,3.31048
20000.0,0.0005115789473684211,0.0004315789473684211,3.5075
20000.0,0.0005115789473684211,0.00047894736842105264,3.694
20000.0,0.0005115789473684211,0.0005263157894736842,3.89744
20000.0,0.0005115789473684211,0.0005736842105263159,4.06849
20000.0,0.0005115789473684211,0.0006210526315789474,4.2326
20000.0,0.0005115789473684211,0.000668421052631579,4.39069
20000.0,0.0005115789473684211,0.0007157894736842105,4.54326
20000.0,0.0005115789473684211,0.0007631578947368422,4.69085
20000.0,0.0005115789473684211,0.0008105263157894738,4.83409
20000.0,0.0005115789473684211,0.0008578947368421053,4.97309
20000.0,0.0005115789473684211,0.0009052631578947369,5.10839
20000.0,0.0005115789473684211,0.0009526315789473685,5.24018
20000.0,0.0005115789473684211,0.001,5.36872
20000.0,0.0005473157894736842,0.0001,1.44235
20000.0,0.0005473157894736842,0.00014736842105263158,2.07117
20000.0,0.0005473157894736842,0.00019473684210526317,2.36844
20000.0,0.0005473157894736842,0.00024210526315789473,2.63477
20000.0,0.0005473157894736842,0.00028947368421052634,2.87732
20000.0,0.0005473157894736842,0.0003368421052631579,3.10143
20000.0,0.0005473157894736842,0.00038421052631578946,3.3105
20000.0,0.0005473157894736842,0.0004315789473684211,3.50741
20000.0,0.0005473157894736842,0.00047894736842105264,3.69389
20000.0,0.0005473157894736842,0.0005263157894736842,3.89744
20000.0,0.0005473157894736842,0.0005736842105263159,4.06851
20000.0,0.0005473157894736842,0.0006210526315789474,4.23263
20000.0,0.0005473157894736842,0.000668421052631579,4.3907
20000.0,0.0005473157894736842,0.0007157894736842105,4.54328
20000.0,0.0005473157894736842,0.0007631578947368422,4.69088
20000.0,0.0005473157894736842,0.0008105263157894738,4.83404
20000.0,0.0005473157894736842,0.0008578947368421053,4.97307
20000.0,0.0005473157894736842,0.0009052631578947369,5.10838
20000.0,0.0005473157894736842,0.0009526315789473685,5.24016
20000.0,0.0005473157894736842,0.001,5.3687
20000.0,0.0005830526315789473,0.0001,1.44227
20000.0,0.0005830526315789473,0.00014736842105263158,2.07109
20000.0,0.0005830526315789473,0.00019473684210526317,2.36841
20000.0,0.0005830526315789473,0.00024210526315789473,2.63464
20000.0,0.0005830526315789473,0.00028947368421052634,2.87729
20000.0,0.0005830526315789473,0.0003368421052631579,3.10134
20000.0,0.0005830526315789473,0.00038421052631578946,3.31054
20000.0,0.0005830526315789473,0.0004315789473684211,3.50744
20000.0,0.0005830526315789473,0.00047894736842105264,3.69399
