part_no,value,volume,ESR,ESL
EKZE250Exx182MK30S+EKZE250Exx221MHB5D/EKZE250Exx101MF11D,296.039604,4.603,75.26591623,1.48E-07
EKZE250Exx182ML20S+EKZE250Exx221MHB5D/EKZE250Exx101MF11D,296.039604,4.942,75.26591623,1.48E-07
EKZE250Exx101MF11D+EKZE250Exx331MH15D/EKZE250Exx221MHB5D,296.744186,1.675,75.08720669,1.48E-07
EKZE250Exx101MF11D+EKZE250Exx331MJC5S/EKZE250Exx221MHB5D,296.744186,1.903,75.08720669,1.48E-07
EKZE250Exx471MH20D+EKZE250Exx821MJ25S,298.7596899,2.969,74.58065055,1.47E-07
EKZE250Exx471MJ16S+EKZE250Exx821MJ25S,298.7596899,3.22,74.58065055,1.47E-07
EKZE250Exx221MHB5D+EKZE250Exx222MK35S/EKZE250Exx101MF11D,300,5.216,74.27230678,1.46E-07
EKZE250Exx101MF11D+EKZE250Exx471MH20D/EKZE250Exx221MHB5D,302.4561404,1.926,73.66916739,1.45E-07
EKZE250Exx101MF11D+EKZE250Exx471MJ16S/EKZE250Exx221MHB5D,302.4561404,2.178,73.66916739,1.45E-07
EKZE250Exx221MHB5D+EKZE250Exx272ML25S/EKZE250Exx101MF11D,303.4246575,5.947,73.43401889,1.45E-07
EKZE250Exx101MF11D+EKZE250Exx681MJ20S/EKZE250Exx221MHB5D,307.1794872,2.492,72.5363931,1.43E-07
EKZE250Exx101MF11D+EKZE250Exx821MJ25S/EKZE250Exx221MHB5D,309.1304348,2.884,72.07860995,1.42E-07
EKZE250Exx101MF11D+EKZE250Exx102MK20S/EKZE250Exx221MHB5D,310.9090909,3.375,71.66626092,1.41E-07
EKZE250Exx101MF11D+EKZE250Exx152MK25S/EKZE250Exx221MHB5D,313.75,3.989,71.01734512,1.40E-07
EKZE250Exx101MF11D+EKZE250Exx182MK30S/EKZE250Exx221MHB5D,314.7368421,4.603,70.79467368,1.39E-07
EKZE250Exx101MF11D+EKZE250Exx182ML20S/EKZE250Exx221MHB5D,314.7368421,4.942,70.79467368,1.39E-07
EKZE250Exx101MF11D+EKZE250Exx222MK35S/EKZE250Exx221MHB5D,315.6521739,5.216,70.58938247,1.39E-07
EKZE250Exx101MF11D+EKZE250Exx272ML25S/EKZE250Exx221MHB5D,316.4285714,5.947,70.4161825,1.39E-07
EKZE250Exx152MK25S+EKZE250Exx331MH15D/EKZE250Exx470ME11D,317.4918033,4.038,70.18036939,1.38E-07
EKZE250Exx152MK25S+EKZE250Exx331MJC5S/EKZE250Exx470ME11D,317.4918033,4.266,70.18036939,1.38E-07
EKZE250Exx102MK20S+EKZE250Exx471MH20D,319.7278912,3.46,69.68954742,1.37E-07
EKZE250Exx102MK20S+EKZE250Exx471MJ16S,319.7278912,3.711,69.68954742,1.37E-07
EKZE250Exx101MF11D/EKZE250Exx221MHB5D,320,0.921,69.6302876,1.37E-07
EKZE250Exx331MH15D+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,322.1782178,2.668,69.15952352,1.36E-07
EKZE250Exx331MJC5S+EKZE250Exx681MJ20S/EKZE250Exx101MF11D,322.1782178,2.895,69.15952352,1.36E-07
EKZE250Exx471MH20D+EKZE250Exx681MJ20S/EKZE250Exx470ME11D,324.9130435,2.792,68.57740088,1.35E-07
EKZE250Exx471MJ16S+EKZE250Exx681MJ20S/EKZE250Exx470ME11D,324.9130435,3.043,68.57740088,1.35E-07
EKZE250Exx182MK30S+EKZE250Exx331MH15D/EKZE250Exx470ME11D,325.8732394,4.652,68.37533536,1.35E-07
EKZE250Exx182MK30S+EKZE250Exx331MJC5S/EKZE250Exx470ME11D,325.8732394,4.879,68.37533536,1.35E-07
EKZE250Exx182ML20S+EKZE250Exx331MH15D/EKZE250Exx470ME11D,325.8732394,4.991,68.37533536,1.35E-07
EKZE250Exx182ML20S+EKZE250Exx331MJC5S/EKZE250Exx470ME11D,325.8732394,5.219,68.37533536,1.35E-07
EKZE250Exx331MH15D,330,0.754,67.52027889,1.33E-07
EKZE250Exx331MJC5S,330,0.982,67.52027889,1.33E-07
EKZE250Exx221MHB5D+EKZE250Exx221MHB5D/EKZE250Exx221MHB5D,330,1.734,67.52027889,1.33E-07
EKZE250Exx222MK35S+EKZE250Exx331MH15D/EKZE250Exx470ME11D,333.9565217,5.265,66.72033808,1.31E-07
EKZE250Exx222MK35S+EKZE250Exx331MJC5S/EKZE250Exx470ME11D,333.9565217,5.493,66.72033808,1.31E-07
EKZE250Exx471MH20D+EKZE250Exx471MH20D/EKZE250Exx101MF11D,335,2.354,66.51251353,1.31E-07
EKZE250Exx471MH20D+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,335,2.605,66.51251353,1.31E-07
EKZE250Exx471MJ16S+EKZE250Exx471MJ16S/EKZE250Exx101MF11D,335,2.856,66.51251353,1.31E-07
EKZE250Exx331MH15D+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,335.3043478,3.06,66.4521417,1.31E-07
EKZE250Exx331MJC5S+EKZE250Exx821MJ25S/EKZE250Exx101MF11D,335.3043478,3.288,66.4521417,1.31E-07
EKZE250Exx681MJ20S+EKZE250Exx681MJ20S,340,3.142,65.53438833,1.29E-07
EKZE250Exx272ML25S+EKZE250Exx331MH15D/EKZE250Exx470ME11D,341.0594059,5.997,65.33082403,1.29E-07
EKZE250Exx272ML25S+EKZE250Exx331MJC5S/EKZE250Exx470ME11D,341.0594059,6.224,65.33082403,1.29E-07
EKZE250Exx471MH20D+EKZE250Exx821MJ25S/EKZE250Exx470ME11D,345.7596899,3.185,64.44271175,1.27E-07
EKZE250Exx471MJ16S+EKZE250Exx821MJ25S/EKZE250Exx470ME11D,345.7596899,3.436,64.44271175,1.27E-07
EKZE250Exx102MK20S+EKZE250Exx331MH15D/EKZE250Exx101MF11D,348.1203008,3.551,64.00572441,1.26E-07
EKZE250Exx102MK20S+EKZE250Exx331MJC5S/EKZE250Exx101MF11D,348.1203008,3.779,64.00572441,1.26E-07
EKZE250Exx221MHB5D+EKZE250Exx331MH15D/EKZE250Exx221MHB5D,352,1.91,63.30026146,1.25E-07
